rank,lemma,PoS,freq,synonym,synset
1288,basic,a,74208,introductory,Synset('basic.s.03')
1290,corner,n,74047,niche,Synset('recess.n.02')
1291,target,n,73925,butt,Synset('target.n.04')
1292,driver,n,73902,,
1293,beginning,n,73853,origin,Synset('beginning.n.04')
1294,religion,n,73744,faith,Synset('religion.n.01')
1295,crisis,n,73691,,
1296,count,v,73650,weigh,Synset('consider.v.04')
1297,museum,n,73559,,
1298,engage,v,73493,enlist,Synset('engage.v.08')
1299,communication,n,73413,communicating,Synset('communication.n.01')
1300,murder,n,73388,slaying,Synset('murder.n.01')
1301,blow,v,73361,,
1302,object,n,73304,,
1303,express,v,73274,extract,Synset('press_out.v.03')
1305,encourage,v,73251,promote,Synset('promote.v.01')
1306,matter,v,73171,count,Synset('count.v.02')
1307,blog,n,73163,,
1308,smile,v,73137,,
1309,return,n,73109,homecoming,Synset('return.n.02')
1310,belief,n,73067,impression,Synset('impression.n.01')
1311,block,n,73065,cube,Synset('block.n.03')
1312,debt,n,73015,,
1313,fire,v,72911,fuel,Synset('fuel.v.02')
1314,labor,n,72759,childbed,Synset('parturiency.n.01')
1315,understanding,n,72651,discernment,Synset('understanding.n.01')
1316,neighborhood,n,72625,region,Synset('region.n.04')
1317,contract,n,72568,declaration,Synset('contract.n.02')
1318,middle,n,72563,midsection,Synset('middle.n.03')
1319,species,n,72542,,
1320,additional,a,72539,extra,Synset('extra.s.03')
1321,sample,n,72489,sampling,Synset('sample_distribution.n.01')
1322,involved,a,72455,knotty,Synset('byzantine.s.03')
1323,inside,r,72435,inwardly,Synset('inwardly.r.01')
1324,mostly,r,72378,largely,Synset('largely.r.01')
1325,path,n,72335,way,Synset('way.n.05')
1326,concerned,a,72309,implicated,Synset('implicated.s.01')
1327,apple,n,72273,,
1328,conduct,v,72181,deal,Synset('conduct.v.01')
1329,god,n,72022,divinity,Synset('deity.n.01')
1330,wonderful,a,71940,fantastic,Synset('fantastic.s.02')
1331,library,n,71921,,
1332,prison,n,71871,,
1333,hole,n,71837,trap,Synset('trap.n.06')
1334,attempt,n,71833,effort,Synset('attempt.n.01')
1335,complete,v,71752,nail,Synset('complete.v.04')
1336,code,n,71659,codification,Synset('code.n.01')
1337,sales,n,71601,,
1338,gift,n,71372,talent,Synset('endowment.n.01')
1339,refuse,v,71277,deny,Synset('deny.v.04')
1340,increase,n,71248,step-up,Synset('increase.n.05')
1341,garden,n,71243,,
1342,introduce,v,71221,acquaint,Synset('introduce.v.01')
1343,roll,v,71123,pluck,Synset('hustle.v.03')
1344,christian,a,71055,,
1345,definitely,r,70982,unquestionably,Synset('decidedly.r.01')
1346,like,a,70955,same,Synset('like.a.02')
1347,lake,n,70940,,
1348,turn,n,70831,twist,Synset('turn.n.04')
1349,sure,r,70758,certainly,Synset('surely.r.01')
1350,earn,v,70697,garner,Synset('earn.v.02')
1351,plane,n,70679,airplane,Synset('airplane.n.01')
1352,vehicle,n,70662,fomite,Synset('fomite.n.01')
1353,examine,v,70501,canvass,Synset('analyze.v.01')
1354,application,n,70441,coating,Synset('application.n.03')
1355,thousand,n,70404,G,Synset('thousand.n.01')
1356,coffee,n,70366,chocolate,Synset('chocolate.n.03')
1357,gain,v,70275,gather,Synset('gain.v.07')
1358,result,v,70269,ensue,Synset('result.v.01')
1359,file,n,70059,,
1361,reform,n,70010,,
1362,ignore,v,70007,snub,Synset('ignore.v.01')
1363,welcome,v,69914,receive,Synset('welcome.v.02')
1364,gold,n,69903,Au,Synset('gold.n.03')
1365,jump,v,69861,spring,Synset('jump.v.01')
1366,planet,n,69822,satellite,Synset('satellite.n.02')
1367,location,n,69669,positioning,Synset('placement.n.03')
1368,bird,n,69662,fowl,Synset('bird.n.02')
1369,amazing,a,69525,astonishing,Synset('amazing.s.01')
1370,principle,n,69403,rule,Synset('principle.n.04')
1371,promote,v,69398,elevate,Synset('promote.v.02')
1372,search,n,69392,hunting,Synset('search.n.01')
1374,alive,a,69360,live,Synset('alive.a.01')
1375,possibility,n,69316,opening,Synset('possibility.n.04')
1376,sky,n,69285,,
1377,otherwise,r,69243,differently,Synset('differently.r.01')
1378,remind,v,69182,cue,Synset('prompt.v.03')
1379,healthy,a,69023,goodish,Synset('goodly.s.01')
1380,fit,v,68996,go,Synset('fit.v.02')
1381,horse,n,68883,cavalry,Synset('cavalry.n.01')
1382,advantage,n,68866,reward,Synset('advantage.n.03')
1383,commercial,a,68821,commercial-grade,Synset('commercial.s.03')
1384,steal,v,68807,slip,Synset('steal.v.02')
1385,basis,n,68758,base,Synset('basis.n.03')
1386,context,n,68668,circumstance,Synset('context.n.02')
1387,highly,r,68586,extremely,Synset('highly.r.01')
1388,christmas,n,68542,,
1389,strength,n,68537,metier,Synset('forte.n.01')
1390,move,n,68522,motion,Synset('motion.n.03')
1391,monday,n,68488,,
1392,mean,n,68411,,
1393,alone,a,68401,solitary,Synset('alone.s.02')
1394,beach,n,68303,,
1395,survey,n,68301,study,Synset('survey.n.01')
1396,writing,n,68200,authorship,Synset('writing.n.01')
1397,master,n,68182,passkey,Synset('passkey.n.01')
1398,cry,v,68161,outcry,Synset('exclaim.v.01')
1399,scale,n,68139,plate,Synset('plate.n.14')
1400,resident,n,68096,occupier,Synset('resident.n.01')
1401,football,n,68073,,
1402,sweet,a,67903,sweet-flavored,Synset('sugared.s.01')
1403,failure,n,67885,bankruptcy,Synset('bankruptcy.n.02')
1404,reporter,n,67831,newsman,Synset('reporter.n.01')
1405,commit,v,67792,send,Synset('commit.v.03')
1406,fight,n,67767,scrap,Synset('fight.n.02')
1407,one,n,67755,I,Synset('one.n.01')
1408,associate,v,67750,connect,Synset('associate.v.01')
1409,vision,n,67714,imaginativeness,Synset('imagination.n.01')
1410,function,n,67710,map,Synset('function.n.01')
1411,truly,r,67680,rightfully,Synset('rightfully.r.01')
1412,sick,a,67645,disgusted,Synset('disgusted.s.01')
1413,average,a,67618,ordinary,Synset('average.s.02')
1414,human,n,67605,man,Synset('homo.n.02')
1415,stupid,a,67597,unintelligent,Synset('unintelligent.a.01')
1417,chinese,a,67573,,
1418,connection,n,67550,connexion,Synset('joining.n.01')
1419,camp,n,67510,cantonment,Synset('camp.n.01')
1420,stone,n,67456,,
1421,hundred,n,67455,100,Synset('hundred.n.01')
1422,key,n,67404,samara,Synset('samara.n.01')
1423,truck,n,67403,motortruck,Synset('truck.n.01')
1424,afternoon,n,67378,,
1425,responsible,a,67329,creditworthy,Synset('creditworthy.s.01')
1426,secretary,n,67325,secretaire,Synset('secretary.n.04')
1427,apparently,r,67248,seemingly,Synset('apparently.r.01')
1428,smart,a,67232,,
1429,southern,a,67179,southerly,Synset('southerly.s.02')
1430,totally,r,67117,altogether,Synset('wholly.r.01')
1431,western,a,67085,westerly,Synset('westerly.s.01')
1432,collect,v,67062,gather,Synset('gather.v.01')
1433,conflict,n,67061,battle,Synset('conflict.n.01')
1434,burn,v,66886,incinerate,Synset('burn.v.07')
1435,learning,n,66879,acquisition,Synset('learning.n.01')
1436,wake,v,66773,heat,Synset('inflame.v.04')
1437,contribute,v,66772,bring,Synset('lend.v.01')
1438,ride,v,66723,drive,Synset('drive.v.12')
1439,british,a,66700,,
1440,following,a,66684,undermentioned,Synset('following.s.01')
1441,order,v,66657,govern,Synset('regulate.v.02')
1442,share,n,66642,portion,Synset('share.n.01')
1443,newspaper,n,66598,paper,Synset('newspaper.n.03')
1444,foundation,n,66578,grounding,Synset('foundation.n.04')
1445,variety,n,66555,miscellanea,Synset('assortment.n.01')
1446,perspective,n,66540,view,Synset('position.n.03')
1447,document,n,66467,papers,Synset('document.n.01')
1448,presence,n,66412,bearing,Synset('bearing.n.03')
1449,stare,v,66392,gaze,Synset('gaze.v.01')
1450,lesson,n,66252,moral,Synset('moral.n.01')
1451,limit,v,66220,confine,Synset('limit.v.02')
1452,appreciate,v,66216,treasure,Synset('prize.v.01')
1453,complete,a,66198,terminated,Synset('complete.s.05')
1454,observe,v,66197,remark,Synset('note.v.01')
1455,currently,r,66051,presently,Synset('presently.r.02')
1457,fun,a,65982,,
1458,crowd,n,65965,crew,Synset('crowd.n.02')
1459,attack,v,65959,aggress,Synset('attack.v.03')
1460,apartment,n,65884,flat,Synset('apartment.n.01')
1461,survive,v,65838,live,Synset('survive.v.01')
1462,guest,n,65818,client,Synset('node.n.08')
1463,soul,n,65749,psyche,Synset('soul.n.01')
1464,protection,n,65690,shelter,Synset('protection.n.04')
1465,intelligence,n,65687,news,Synset('news.n.01')
1466,yesterday,r,65635,,
1467,somewhere,r,65620,someplace,Synset('somewhere.r.01')
1468,border,n,65422,mete,Synset('boundary_line.n.01')
1469,reading,n,65417,recital,Synset('recitation.n.02')
1471,leadership,n,65396,leaders,Synset('leadership.n.02')
1472,present,a,65336,,
1473,chief,n,65311,chieftain,Synset('headman.n.02')
1474,attitude,n,65288,,
1475,start,n,65218,scratch,Synset('start.n.06')
1477,deny,v,64887,abnegate,Synset('deny.v.05')
1478,website,n,64875,site,Synset('web_site.n.01')
1479,seriously,r,64827,gravely,Synset('badly.r.01')
1480,actual,a,64818,factual,Synset('actual.s.04')
1481,recall,v,64789,recollect,Synset('remember.v.01')
1482,fix,v,64728,get,Synset('pay_back.v.02')
1483,negative,a,64601,disconfirming,Synset('negative.a.04')
1484,connect,v,64462,join,Synset('connect.v.03')
1485,distance,n,64404,length,Synset('distance.n.03')
1486,regular,a,64293,,
1487,climate,n,64223,mood,Synset('climate.n.02')
1488,relation,n,64199,coition,Synset('sexual_intercourse.n.01')
1489,flight,n,64148,flying,Synset('flight.n.02')
1490,dangerous,a,64067,unsafe,Synset('dangerous.a.01')
1491,boat,n,64026,sauceboat,Synset('gravy_boat.n.01')
1492,aspect,n,63967,facet,Synset('aspect.n.01')
1493,grab,v,63946,catch,Synset('catch.v.04')
1495,favorite,a,63804,pet,Synset('favored.s.01')
1496,like,r,63748,,
1497,january,n,63714,,
1498,independent,a,63631,autonomous,Synset('autonomous.s.01')
1499,volume,n,63626,intensity,Synset('volume.n.06')
1502,front,a,63594,,
1503,online,a,63564,on-line,Synset('on-line.a.01')
1504,theater,n,63549,dramatics,Synset('dramaturgy.n.01')
1505,speed,n,63502,amphetamine,Synset('amphetamine.n.01')
1506,aware,a,63488,mindful,Synset('mindful.a.01')
1507,identity,n,63440,individuality,Synset('identity.n.01')
1508,demand,n,63402,need,Synset('need.n.01')
1509,extra,a,63392,additional,Synset('extra.s.03')
1510,charge,v,63379,consign,Synset('consign.v.02')
1511,guard,n,63290,safeguard,Synset('precaution.n.01')
1512,demonstrate,v,63269,show,Synset('show.v.01')
1513,fully,r,63238,full,Synset('fully.r.01')
1514,tuesday,n,63179,,
1515,facility,n,63117,installation,Synset('facility.n.01')
1516,farm,n,62942,,
1517,mind,v,62869,beware,Synset('beware.v.01')
1518,fun,n,62839,playfulness,Synset('playfulness.n.02')
1520,august,n,62821,,
1521,hire,v,62794,rent,Synset('rent.v.04')
1522,light,a,62687,abstemious,Synset('abstemious.s.02')
1523,link,n,62629,nexus,Synset('link.n.01')
1524,shoe,n,62523,skid,Synset('brake_shoe.n.01')
1525,institute,n,62451,,
1527,living,n,62299,livelihood,Synset('support.n.06')
1528,european,a,62156,,
1529,quarter,n,62138,fourth,Synset('one-fourth.n.01')
1530,basically,r,62046,essentially,Synset('basically.r.01')
1531,forest,n,61942,woods,Synset('forest.n.01')
1532,multiple,a,61694,,
1533,poll,n,61677,,
1534,wild,a,61605,violent,Synset('violent.s.03')
1535,measure,v,61601,evaluate,Synset('measure.v.04')
1536,twice,r,61563,doubly,Synset('doubly.r.01')
1537,cross,v,61522,interbreed,Synset('crossbreed.v.01')
1538,background,n,61431,setting,Synset('setting.n.02')
1539,settle,v,61424,root,Synset('settle.v.07')
1540,winter,n,61394,wintertime,Synset('winter.n.01')
1541,focus,n,61392,centering,Synset('focus.n.01')
1542,presidential,a,61351,,
1543,operate,v,61296,maneuver,Synset('manoeuver.v.03')
1544,fuck,v,61292,bed,Synset('sleep_together.v.01')
1545,view,v,61111,regard,Synset('see.v.05')
1546,daily,a,61083,casual,Synset('casual.s.03')
1547,shop,n,61038,store,Synset('shop.n.01')
1549,division,n,60892,class,Synset('class.n.05')
1550,slowly,r,60889,slow,Synset('slowly.r.01')
1551,advice,n,60861,,
1552,reaction,n,60811,response,Synset('reaction.n.03')
1553,injury,n,60769,wound,Synset('wound.n.02')
1555,ticket,n,60721,slate,Synset('slate.n.04')
1556,grade,n,60710,level,Synset('degree.n.01')
1558,birth,n,60673,birthing,Synset('parturition.n.01')
1559,painting,n,60548,,
1560,outcome,n,60498,resultant,Synset('result.n.03')
1561,enemy,n,60473,foe,Synset('enemy.n.02')
1562,damage,n,60384,hurt,Synset('damage.n.03')
1564,storm,n,60280,tempest,Synset('storm.n.02')
1565,shape,n,60252,flesh,Synset('human_body.n.01')
1566,bowl,n,60234,bowlful,Synset('bowl.n.04')
1567,commission,n,60218,charge,Synset('mission.n.03')
1568,captain,n,60187,master,Synset('master.n.07')
1569,ear,n,60160,spike,Synset('ear.n.05')
1570,troop,n,60133,flock,Synset('troop.n.04')
1571,female,a,60116,,
1572,wood,n,60115,forest,Synset('forest.n.01')
1573,warm,a,60062,fond,Synset('affectionate.s.01')
1574,clean,a,60059,uncontaminating,Synset('clean.a.07')
1575,lead,n,59773,Pb,Synset('lead.n.02')
1576,minister,n,59752,pastor,Synset('curate.n.01')
1577,neighbor,n,59746,neighbour,Synset('neighbor.n.02')
1578,tiny,a,59714,diminutive,Synset('bantam.s.01')
1579,mental,a,59701,genial,Synset('genial.a.02')
1580,software,n,59696,package,Synset('software.n.01')
1581,glad,a,59681,beaming,Synset('beaming.s.01')
1582,finding,n,59632,determination,Synset('determination.n.01')
1583,lord,n,59563,,
1584,drive,n,59524,driveway,Synset('driveway.n.01')
1585,temperature,n,59493,,
1586,quiet,a,59485,restrained,Synset('quiet.s.03')
1587,spread,v,59483,distribute,Synset('spread.v.01')
1588,bright,a,59449,brilliant,Synset('bright.s.08')
1589,cut,n,59434,swing,Synset('baseball_swing.n.01')
1590,influence,n,59350,,
1591,kick,v,59307,,
1592,annual,a,59301,one-year,Synset('annual.a.01')
1593,procedure,n,59288,process,Synset('procedure.n.01')
1594,respect,n,59226,regard,Synset('regard.n.06')
1595,wave,n,59169,undulation,Synset('wave.n.07')
1596,tradition,n,59099,custom,Synset('custom.n.02')
1597,threaten,v,59034,jeopardise,Synset('endanger.v.01')
1598,primary,a,58990,master,Synset('chief.s.01')
1599,strange,a,58863,unknown,Synset('strange.s.02')
1600,actor,n,58856,doer,Synset('actor.n.02')
1601,blame,v,58815,pick,Synset('blame.v.02')
1602,active,a,58801,dynamic,Synset('active.a.11')
1603,cat,n,58763,Caterpillar,Synset('caterpillar.n.02')
1604,depend,v,58725,look,Synset('count.v.08')
1605,bus,n,58707,heap,Synset('bus.n.04')
1606,clothes,n,58660,dress,Synset('apparel.n.01')
1607,affair,n,58553,thing,Synset('matter.n.01')
1608,contact,n,58518,tangency,Synset('contact.n.07')
1609,category,n,58470,family,Synset('class.n.01')
1610,topic,n,58410,subject,Synset('subject.n.01')
1611,victory,n,58342,triumph,Synset('victory.n.01')
1612,direct,a,58289,unmediated,Synset('direct.s.02')
1614,map,n,58218,function,Synset('function.n.01')
1615,egg,n,58198,ball,Synset('testis.n.01')
1616,ensure,v,58156,guarantee,Synset('guarantee.v.02')
1617,general,n,58129,,
1618,expression,n,58120,manifestation,Synset('expression.n.02')
1620,session,n,58108,sitting,Synset('seance.n.01')
1621,competition,n,58102,contest,Synset('contest.n.01')
1622,possibly,r,58071,perchance,Synset('possibly.r.01')
1623,technique,n,58028,proficiency,Synset('proficiency.n.02')
1625,average,n,57985,norm,Synset('average.n.01')
1626,intend,v,57970,destine,Synset('intend.v.02')
1627,impossible,a,57892,unsufferable,Synset('impossible.s.03')
1628,moral,a,57787,,
1629,academic,a,57717,pedantic,Synset('academic.s.03')
1630,wine,n,57614,vino,Synset('wine.n.01')
1631,approach,v,57607,near,Synset('approach.v.01')
1632,somehow,r,57596,someways,Synset('somehow.r.01')
1633,gather,v,57562,assemble,Synset('assemble.v.03')
1634,scientific,a,57547,,
1635,african,a,57497,,
1636,cook,v,57383,fix,Synset('cook.v.02')
1637,participate,v,57361,enter,Synset('enter.v.02')
1638,gay,a,57195,brave,Synset('brave.s.03')
1639,appropriate,a,57163,,
1640,youth,n,57132,younker,Synset('young_person.n.01')
1641,dress,v,56967,set,Synset('dress.v.16')
1642,straight,r,56942,directly,Synset('directly.r.04')
1643,weather,n,56939,conditions,Synset('weather.n.01')
1644,recommend,v,56938,advocate,Synset('recommend.v.01')
1645,medicine,n,56814,,
1646,novel,n,56709,,
1647,obvious,a,56696,,
1648,thursday,n,56611,,
1649,exchange,n,56534,interchange,Synset('exchange.n.03')
1650,explore,v,56474,,
1651,extend,v,56458,gallop,Synset('gallop.v.03')
1652,bay,n,56420,embayment,Synset('bay.n.01')
1653,invite,v,56415,tempt,Synset('tempt.v.03')
1654,tie,v,56394,wed,Synset('marry.v.02')
1656,belong,v,56342,,
1657,obtain,v,56312,find,Synset('receive.v.02')
1658,broad,a,56310,liberal,Synset('broad.s.08')
1659,conclusion,n,56296,determination,Synset('decision.n.02')
1660,progress,n,56162,progression,Synset('progress.n.03')
1661,surprise,n,56116,surprisal,Synset('surprise.n.03')
1662,assessment,n,55956,,
1663,smile,n,55936,grinning,Synset('smile.n.01')
1664,feature,v,55868,sport,Synset('sport.v.01')
1665,cash,n,55856,,
1666,defend,v,55825,champion,Synset('champion.v.01')
1667,pound,n,55670,quid,Synset('british_pound.n.01')
1668,correct,a,55632,right,Synset('correct.s.02')
1669,married,a,55629,matrimonial,Synset('marital.a.01')
1670,pair,n,55530,duo,Synset('couple.n.04')
1671,slightly,r,55389,slenderly,Synset('slenderly.r.01')
1672,loan,n,55348,loanword,Synset('loanword.n.01')
1673,village,n,55217,hamlet,Synset('village.n.02')
1674,half,n,55207,one-half,Synset('one-half.n.01')
1675,suit,n,55200,courtship,Synset('courtship.n.01')
1676,demand,v,55168,exact,Synset('demand.v.03')
1677,historical,a,55028,diachronic,Synset('diachronic.a.01')
1678,meaning,n,55014,import,Synset('meaning.n.01')
1679,attempt,v,54992,seek,Synset('try.v.01')
1680,supply,n,54988,provision,Synset('provision.n.02')
1681,lift,v,54954,hook,Synset('pilfer.v.01')
1683,honey,n,54912,love,Synset('beloved.n.01')
1684,bone,n,54911,off-white,Synset('bone.n.03')
1685,consequence,n,54883,import,Synset('consequence.n.03')
1686,unique,a,54827,singular,Synset('singular.s.06')
1688,regulation,n,54726,regularisation,Synset('regulation.n.05')
1689,award,n,54712,awarding,Synset('award.n.01')
1690,bottom,n,54701,undersurface,Synset('bottom.n.01')
1691,excuse,v,54672,pardon,Synset('excuse.v.01')
1692,familiar,a,54651,conversant,Synset('conversant.s.01')
1693,classroom,n,54542,schoolroom,Synset('classroom.n.01')
1694,search,v,54487,look,Synset('search.v.02')
1695,reference,n,54390,source,Synset('reference.n.08')
1696,emerge,v,54379,issue,Synset('issue.v.04')
1698,lunch,n,54300,tiffin,Synset('lunch.n.01')
1699,judge,v,54271,adjudicate,Synset('judge.v.05')
1700,ad,n,54265,advertizement,Synset('ad.n.01')
1701,desire,n,54265,,
1702,instruction,n,54207,didactics,Synset('education.n.01')
1703,emergency,n,54204,exigency,Synset('emergency.n.01')
1704,thinking,n,54200,cerebration,Synset('thinking.n.01')
1705,tour,n,54157,circuit,Synset('tour.n.01')
1706,french,a,54133,,
1707,combine,v,54133,fuse,Synset('blend.v.03')
1708,moon,n,54069,Moon,Synset('moon.n.01')
1709,sad,a,54041,lamentable,Synset('deplorable.s.01')
1710,address,n,54018,destination,Synset('address.n.06')
1711,december,n,53957,,
1712,anywhere,r,53945,anyplace,Synset('anywhere.r.01')
1713,chicken,n,53916,crybaby,Synset('wimp.n.01')
1714,fuel,n,53882,,
1715,train,v,53865,prepare,Synset('train.v.02')
1716,abuse,n,53777,misuse,Synset('misuse.n.01')
1717,construction,n,53745,twist,Synset('construction.n.06')
1718,wednesday,n,53706,,
1719,link,v,53674,yoke,Synset('yoke.v.02')
1720,deserve,v,53654,merit,Synset('deserve.v.01')
1721,famous,a,53575,famed,Synset('celebrated.s.01')
1722,intervention,n,53351,interference,Synset('intervention.n.02')
1723,grand,a,53325,opulent,Synset('deluxe.s.01')
1724,visit,n,53262,,
1725,confirm,v,53256,support,Synset('confirm.v.01')
1726,lucky,a,53231,favourable,Synset('golden.s.06')
1727,insist,v,53141,assert,Synset('insist.v.03')
1728,coast,n,53114,seashore,Synset('seashore.n.01')
1729,proud,a,53067,,
1730,cover,n,53057,covering,Synset('cover.n.03')
1732,cop,n,52982,pig,Synset('bull.n.05')
1733,angry,a,52980,furious,Synset('angry.s.02')
1734,native,a,52950,aboriginal,Synset('native.a.03')
1735,supreme,a,52933,sovereign,Synset('sovereign.s.02')
1736,baseball,n,52864,,
1738,email,n,52826,e-mail,Synset('electronic_mail.n.01')
1739,accident,n,52784,stroke,Synset('accident.n.02')
1740,front,n,52764,presence,Synset('presence.n.02')
1741,duty,n,52673,tariff,Synset('duty.n.03')
1742,growing,a,52661,,
1743,struggle,v,52598,contend,Synset('contend.v.06')
1744,revenue,n,52579,taxation,Synset('tax_income.n.01')
1745,expand,v,52529,extend,Synset('extend.v.09')
1746,chief,a,52508,primary,Synset('chief.s.01')
1747,launch,v,52479,plunge,Synset('plunge.v.04')
1748,trend,n,52452,course,Synset('course.n.03')
1749,ring,n,52405,doughnut,Synset('ring.n.02')
1750,repeat,v,52290,echo,Synset('repeat.v.04')
1751,breath,n,52280,intimation,Synset('hint.n.01')
1752,inch,n,52275,in,Synset('inch.n.01')
1753,neck,n,52214,,
1754,core,n,52195,nucleus,Synset('core.n.01')
1755,terrible,a,52179,wicked,Synset('severe.s.01')
1756,billion,n,52087,1000000000000,Synset('billion.n.01')
1757,relatively,r,52070,comparatively,Synset('relatively.r.01')
1758,complex,a,51957,,
1759,press,v,51939,beseech,Synset('bid.v.03')
1760,miss,n,51928,fille,Synset('girl.n.01')
1761,slow,a,51880,dull,Synset('dense.s.04')
1762,soft,a,51824,diffuse,Synset('soft.a.08')
1763,generate,v,51796,yield,Synset('render.v.04')
1764,extremely,r,51789,exceedingly,Synset('extremely.r.02')
1765,last,v,51774,endure,Synset('survive.v.01')
1766,drink,n,51766,deglutition,Synset('swallow.n.02')
1767,forever,r,51747,everlastingly,Synset('everlastingly.r.01')
1768,corporate,a,51712,corporal,Synset('bodied.s.02')
1769,deep,r,51692,late,Synset('deep.r.02')
1770,prefer,v,51684,choose,Synset('choose.v.02')
1772,cheap,a,51588,chinchy,Synset('cheap.s.04')
1773,literature,n,51523,lit,Synset('literature.n.02')
1774,direct,v,51486,aim,Synset('calculate.v.05')
1775,mayor,n,51481,,
1776,male,a,51453,manlike,Synset('male.s.02')
1777,importance,n,51419,grandness,Synset('importance.n.02')
1778,record,v,51375,tape,Synset('record.v.02')
1779,danger,n,51331,risk,Synset('risk.n.02')
1780,emotional,a,51327,excited,Synset('aroused.s.06')
1781,knee,n,51298,stifle,Synset('stifle.n.01')
1782,ass,n,51238,bottom,Synset('buttocks.n.01')
1783,capture,v,51215,seize,Synset('appropriate.v.02')
1784,traffic,n,51138,dealings,Synset('dealings.n.01')
1785,fucking,a,51076,bally,Synset('bally.s.01')
1786,outside,r,51030,alfresco,Synset('outside.r.01')
1788,train,n,50975,gearing,Synset('gearing.n.01')
1789,plate,n,50934,home,Synset('home_plate.n.01')
1790,equipment,n,50894,,
1791,select,v,50804,take,Synset('choose.v.01')
1792,file,v,50771,register,Synset('file.v.01')
1793,studio,n,50758,,
1794,expensive,a,50744,,
1795,secret,n,50730,enigma,Synset('mystery.n.01')
1796,engine,n,50724,,
1797,adopt,v,50605,borrow,Synset('adopt.v.02')
1798,luck,n,50589,chance,Synset('luck.n.02')
1800,pm,r,50551,,
1801,panel,n,50544,venire,Synset('panel.n.03')
1802,hero,n,50520,paladin,Synset('champion.n.02')
1803,circle,n,50510,round,Synset('circle.n.08')
1804,critic,n,50462,,
1805,solve,v,50437,resolve,Synset('resolve.v.06')
1806,busy,a,50363,meddlesome,Synset('interfering.s.01')
1807,episode,n,50354,sequence,Synset('sequence.n.03')
1808,back,v,50340,indorse,Synset('second.v.01')
1809,check,n,50298,chip,Synset('check.n.09')
1810,requirement,n,50272,necessity,Synset('necessity.n.02')
1811,politician,n,50171,pol,Synset('politician.n.02')
1812,rain,n,50093,rainwater,Synset('rain.n.02')
1813,colleague,n,50084,workfellow,Synset('colleague.n.01')
1814,disappear,v,50053,vanish,Synset('disappear.v.01')
1815,beer,n,50024,,
1816,predict,v,50013,call,Synset('predict.v.01')
1817,exercise,n,49985,exercising,Synset('exercise.n.01')
1818,tired,a,49972,shopworn,Synset('banal.s.01')
1819,democracy,n,49951,,
1820,ultimately,r,49899,finally,Synset('ultimately.r.01')
1821,setting,n,49873,context,Synset('context.n.02')
1822,honor,n,49871,purity,Synset('honor.n.04')
1823,works,n,49867,,
1824,unfortunately,r,49863,unluckily,Synset('unfortunately.r.01')
1825,theme,n,49821,topic,Synset('subject.n.01')
1826,issue,v,49792,supply,Synset('issue.v.02')
1827,male,n,49791,,
1828,clean,v,49764,strip,Synset('clean.v.07')
1829,united,a,49746,joined,Synset('joined.s.01')
1830,pool,n,49670,puddle,Synset('pool.n.08')
1831,educational,a,49636,,
1832,empty,a,49565,empty-bellied,Synset('empty.s.03')
1833,comfortable,a,49532,easy,Synset('comfortable.s.05')
1834,investigate,v,49473,,
1835,useful,a,49468,utile,Synset('useful.a.01')
1836,pocket,n,49462,scoop,Synset('scoop.n.02')
1837,digital,a,49461,,
1839,entirely,r,49352,altogether,Synset('wholly.r.01')
1840,fear,v,49288,dread,Synset('fear.v.02')
1841,afford,v,49246,yield,Synset('yield.v.01')
1842,sugar,n,49230,moolah,Synset('boodle.n.01')
1843,teaching,n,49167,pedagogy,Synset('teaching.n.01')
1844,conservative,a,49144,bourgeois,Synset('bourgeois.s.02')
1845,chairman,n,49123,chair,Synset('president.n.04')
1846,error,n,49042,wrongdoing,Synset('error.n.05')
1847,bridge,n,49030,span,Synset('bridge.n.01')
1848,tall,a,48978,magniloquent,Synset('grandiloquent.s.01')
1849,specifically,r,48927,,
1850,flower,n,48912,bloom,Synset('flower.n.03')
1851,though,r,48909,,
1852,universe,n,48854,creation,Synset('universe.n.01')
1853,live,a,48836,lively,Synset('bouncy.s.01')
1854,acknowledge,v,48811,recognize,Synset('acknowledge.v.06')
1855,limit,n,48738,bound,Synset('limit.n.01')
1856,coverage,n,48693,reporting,Synset('coverage.n.03')
1857,crew,n,48673,crowd,Synset('crowd.n.02')
1858,locate,v,48581,settle,Synset('settle.v.04')
1859,balance,n,48537,rest,Synset('remainder.n.01')
1860,equal,a,48522,adequate,Synset('adequate.a.01')
1861,lip,n,48507,backtalk,Synset('sass.n.01')
1862,lean,v,48484,list,Synset('list.v.03')
1863,zone,n,48403,,
1864,wedding,n,48365,hymeneals,Synset('wedding.n.01')
1865,copy,n,48365,transcript,Synset('transcript.n.02')
1866,score,v,48316,hit,Synset('score.v.01')
1867,joke,n,48299,jest,Synset('jest.n.02')
1868,used,a,48287,secondhand,Synset('secondhand.s.02')
1869,clear,v,48273,net,Synset('net.v.02')
1870,bear,v,48272,hold,Synset('bear.v.11')
1871,meal,n,48158,repast,Synset('meal.n.01')
1872,review,v,48123,critique,Synset('review.v.02')
1873,minority,n,48052,nonage,Synset('minority.n.03')
1874,sight,n,48022,survey,Synset('view.n.03')
1875,sleep,n,48020,slumber,Synset('sleep.n.01')
1876,russian,a,48001,,
1877,dress,n,47994,garb,Synset('attire.n.01')
